N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
MEXICO,7.0,1.0,35.0,74140.93678429199,MORENA-PT-Partido Verde,5,74965.92457228899
CIUDAD DE MEXICO,99.0,1.0,65.0,77858.93211268428,NS,5,78725.29111710761
MEXICO,6.0,1.0,39.0,68204.33544595882,Movimiento Ciudadano,5,68963.26494256167
GUERRERO,7.0,1.0,90.0,63971.66052078935,MORENA-PT-Partido Verde,5,64683.491811255626
CIUDAD DE MEXICO,1.0,1.0,34.0,77332.15879663048,PAN-PRI-PRD,5,78192.65624100836
CIUDAD DE MEXICO,7.0,1.0,61.0,77858.93211268428,MORENA-PT-Partido Verde,5,78725.29111710761
CIUDAD DE MEXICO,7.0,2.0,50.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
CIUDAD DE MEXICO,7.0,2.0,30.0,67699.12197014563,MORENA-PT-Partido Verde,5,68452.42980932203
GUERRERO,7.0,2.0,52.0,54302.91617330486,MORENA-PT-Partido Verde,5,54907.16053058809
MEXICO,7.0,2.0,56.0,63363.90097955765,MORENA-PT-Partido Verde,5,64068.96955267367
PUEBLA,4.0,2.0,23.0,66634.84962444997,MORENA-PT-Partido Verde,5,67376.31499539784
PUEBLA,7.0,2.0,33.0,53440.80692760757,MORENA-PT-Partido Verde,5,54035.458344331004
PUEBLA,5.0,2.0,38.0,51964.76980752837,MORENA-PT-Partido Verde,5,52542.996929503024
PUEBLA,1.0,2.0,39.0,51964.76980752837,PAN-PRI-PRD,5,52542.996929503024
PUEBLA,4.0,2.0,28.0,53440.80692760757,MORENA-PT-Partido Verde,5,54035.458344331004
GUERRERO,7.0,2.0,38.0,54087.66310904788,MORENA-PT-Partido Verde,5,54689.512282819225
GUERRERO,2.0,2.0,18.0,69357.05307958797,PAN-PRI-PRD,5,70128.80920088699
PUEBLA,4.0,2.0,29.0,53440.80692760757,MORENA-PT-Partido Verde,5,54035.458344331004
PUEBLA,99.0,2.0,35.0,53440.80692760757,NS,5,54035.458344331004
GUERRERO,1.0,2.0,20.0,69357.05307958797,PAN-PRI-PRD,5,70128.80920088699
MEXICO,1.0,2.0,73.0,72892.61314428173,PAN-PRI-PRD,5,73703.71047171613
MEXICO,1.0,2.0,50.0,53496.25011331257,PAN-PRI-PRD,5,54091.518462504326
GUERRERO,1.0,1.0,45.0,58451.17256231978,PAN-PRI-PRD,5,59101.57577611132
GUERRERO,7.0,1.0,60.0,65263.963929086975,MORENA-PT-Partido Verde,5,65990.17505580126
PUEBLA,7.0,2.0,54.0,61911.260146326706,MORENA-PT-Partido Verde,5,62600.16476198899
HIDALGO,99.0,2.0,55.0,60320.33541689746,NS,5,60991.5373499349
GUERRERO,99.0,1.0,22.0,54098.74109885793,NS,5,54700.713540647
HIDALGO,99.0,2.0,52.0,60320.33541689746,NS,5,60991.5373499349
CIUDAD DE MEXICO,7.0,1.0,21.0,56268.56827326525,MORENA-PT-Partido Verde,5,56894.685013718336
HIDALGO,5.0,1.0,56.0,72495.99970423162,MORENA-PT-Partido Verde,5,73302.68379845386
CIUDAD DE MEXICO,6.0,1.0,59.0,67881.61305670894,Movimiento Ciudadano,5,68636.95152733356
BAJA CALIFORNIA SUR,3.0,1.0,50.0,66074.90195986454,PAN-PRI-PRD,5,66810.13663013291
CIUDAD DE MEXICO,6.0,2.0,54.0,56480.93253318809,Movimiento Ciudadano,5,57109.412312586224
NUEVO LEON,4.0,1.0,37.0,68781.2827456899,MORENA-PT-Partido Verde,5,69546.63210286156
CIUDAD DE MEXICO,1.0,2.0,53.0,56480.93253318809,PAN-PRI-PRD,5,57109.412312586224
PUEBLA,7.0,1.0,18.0,61678.47824361751,MORENA-PT-Partido Verde,5,62364.79262727935
PUEBLA,7.0,2.0,54.0,61911.260146326706,MORENA-PT-Partido Verde,5,62600.16476198899
PUEBLA,7.0,1.0,20.0,61678.47824361751,MORENA-PT-Partido Verde,5,62364.79262727935
PUEBLA,99.0,2.0,29.0,63417.44023586462,NS,5,64123.10455587227
PUEBLA,7.0,2.0,63.0,84358.68917096581,MORENA-PT-Partido Verde,5,85297.37286442875
HIDALGO,2.0,1.0,51.0,72495.99970423162,PAN-PRI-PRD,5,73302.68379845386
PUEBLA,4.0,2.0,32.0,63417.44023586462,MORENA-PT-Partido Verde,5,64123.10455587227
PUEBLA,3.0,2.0,55.0,61911.260146326706,PAN-PRI-PRD,5,62600.16476198899
