estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
19.0,7.0,2.0,53.0,123340.94873563586,MORENA-PT-Partido Verde,1,131249.1356045338
19.0,7.0,1.0,53.0,61627.030218069965,MORENA-PT-Partido Verde,1,65578.3381667732
19.0,6.0,1.0,19.0,93362.60079803366,Movimiento Ciudadano,1,99348.68166773474
19.0,7.0,2.0,43.0,46187.01008877265,MORENA-PT-Partido Verde,1,49148.358371252325
19.0,6.0,1.0,18.0,109985.06474170896,Movimiento Ciudadano,1,117036.91940701992
19.0,6.0,1.0,47.0,81473.45050169609,Movimiento Ciudadano,1,86697.24096241569
19.0,6.0,1.0,20.0,94361.29607523646,Movimiento Ciudadano,1,100411.40976581468
19.0,7.0,1.0,73.0,29766.92943877131,MORENA-PT-Partido Verde,1,31675.480029051392
19.0,1.0,1.0,37.0,72993.0056083474,PAN-PRI-PRD,1,77673.05983519275
22.0,98.0,2.0,40.0,93226.59931633758,NS,1,99203.9602504234
22.0,1.0,2.0,58.0,80452.66018237636,PAN-PRI-PRD,1,85611.001166001
22.0,2.0,2.0,23.0,555677.5568752568,PAN-PRI-PRD,1,591305.6431164369
22.0,98.0,2.0,32.0,67404.57216158914,NS,1,71726.31573447569
22.0,5.0,1.0,59.0,167843.33247281372,MORENA-PT-Partido Verde,1,178604.85532065996
22.0,7.0,2.0,57.0,80452.66018237636,MORENA-PT-Partido Verde,1,85611.001166001
22.0,1.0,2.0,72.0,80538.27285046727,PAN-PRI-PRD,1,85702.10301659415
22.0,1.0,2.0,55.0,80452.66018237636,PAN-PRI-PRD,1,85611.001166001
22.0,6.0,2.0,30.0,67404.57216158914,Movimiento Ciudadano,1,71726.31573447569
22.0,96.0,2.0,41.0,93226.59931633758,Ninguno,1,99203.9602504234
24.0,7.0,1.0,51.0,61627.030218069965,MORENA-PT-Partido Verde,1,65578.3381667732
24.0,7.0,2.0,74.0,80538.27285046727,MORENA-PT-Partido Verde,1,85702.10301659415
24.0,99.0,2.0,22.0,114643.1618973979,NR,1,121993.67733302306
24.0,5.0,1.0,37.0,162710.97072577054,MORENA-PT-Partido Verde,1,173143.42462943838
24.0,98.0,2.0,51.0,80452.66018237636,NS,1,85611.001166001
24.0,7.0,1.0,48.0,86055.53463174017,MORENA-PT-Partido Verde,1,91573.11217550766
24.0,7.0,1.0,32.0,53367.094017436095,MORENA-PT-Partido Verde,1,56788.80397237173
24.0,98.0,2.0,40.0,63848.17631459832,NS,1,67941.89632170173
24.0,7.0,2.0,38.0,66691.17979968285,MORENA-PT-Partido Verde,1,70967.18316895794
24.0,98.0,1.0,28.0,136321.47820233667,NS,1,145061.93086562157
24.0,1.0,2.0,19.0,78515.7548142523,PAN-PRI-PRD,1,83549.90825306304
24.0,2.0,1.0,20.0,94361.29607523646,PAN-PRI-PRD,1,100411.40976581468
24.0,7.0,1.0,23.0,93362.60079803366,MORENA-PT-Partido Verde,1,99348.68166773474
24.0,99.0,1.0,64.0,43463.56879470543,NR,1,46250.29962125715
24.0,7.0,1.0,45.0,58936.92345647432,MORENA-PT-Partido Verde,1,62715.751241970924
24.0,98.0,2.0,59.0,58198.49590069521,NS,1,61929.978314195694
24.0,7.0,1.0,49.0,86055.53463174017,MORENA-PT-Partido Verde,1,91573.11217550766
24.0,98.0,1.0,67.0,43463.56879470543,NS,1,46250.29962125715
24.0,4.0,2.0,32.0,150885.52482457424,MORENA-PT-Partido Verde,1,160559.77282052566
24.0,7.0,2.0,32.0,97377.75228667425,MORENA-PT-Partido Verde,1,103621.27051683508
1.0,7.0,2.0,73.0,61011.83856073572,MORENA-PT-Partido Verde,1,64923.70258885738
1.0,7.0,2.0,33.0,69840.74266118516,MORENA-PT-Partido Verde,1,74318.68489925787
1.0,4.0,1.0,23.0,97771.75026892294,MORENA-PT-Partido Verde,1,104040.5302609036
1.0,1.0,2.0,51.0,84252.12379031607,PAN-PRI-PRD,1,89654.0729877673
1.0,96.0,2.0,62.0,68047.50222083829,Ninguno,1,72410.46820286223
1.0,7.0,1.0,84.0,50764.943582995445,MORENA-PT-Partido Verde,1,54019.8128243847
1.0,7.0,1.0,57.0,54997.609587579784,MORENA-PT-Partido Verde,1,58523.86245347503
1.0,7.0,2.0,58.0,60946.98260965252,MORENA-PT-Partido Verde,1,64854.68830280122
1.0,99.0,1.0,45.0,85321.12203291392,NR,1,90791.61162957277
1.0,7.0,1.0,71.0,117364.2933865789,MORENA-PT-Partido Verde,1,124889.27818158452
5.0,99.0,1.0,45.0,85321.12203291392,NR,1,90791.61162957277
5.0,7.0,1.0,63.0,50764.943582995445,MORENA-PT-Partido Verde,1,54019.8128243847
5.0,7.0,1.0,58.0,54997.609587579784,MORENA-PT-Partido Verde,1,58523.86245347503
5.0,6.0,2.0,29.0,216828.44411355836,Movimiento Ciudadano,1,230730.71965237946
5.0,7.0,2.0,35.0,82275.32799580347,MORENA-PT-Partido Verde,1,87550.53201491036
5.0,7.0,1.0,64.0,31506.157703941222,MORENA-PT-Partido Verde,1,33526.22147998505
5.0,7.0,2.0,33.0,153465.63151836646,MORENA-PT-Partido Verde,1,163305.3068609158
5.0,7.0,1.0,39.0,65140.909936218726,MORENA-PT-Partido Verde,1,69317.51546638871
5.0,97.0,1.0,58.0,65227.78699327618,Ninguno,1,69409.96277411208
5.0,7.0,2.0,43.0,66863.47527165871,MORENA-PT-Partido Verde,1,71150.52561927325
5.0,2.0,1.0,49.0,124579.87864508749,PAN-PRI-PRD,1,132567.50133268026
5.0,7.0,2.0,59.0,57701.82001802116,MORENA-PT-Partido Verde,1,61401.45732465546
5.0,7.0,2.0,30.0,158011.25639437357,MORENA-PT-Partido Verde,1,168142.381181117
5.0,7.0,2.0,28.0,60115.929540224446,MORENA-PT-Partido Verde,1,63970.351039937144
5.0,6.0,1.0,32.0,55887.412564033526,Movimiento Ciudadano,1,59470.716460315925
5.0,7.0,2.0,26.0,70069.55899819177,MORENA-PT-Partido Verde,1,74562.17213323954
5.0,7.0,1.0,37.0,76440.1789872561,MORENA-PT-Partido Verde,1,81341.25382022902
5.0,7.0,1.0,30.0,76440.1789872561,MORENA-PT-Partido Verde,1,81341.25382022902
5.0,2.0,1.0,41.0,124579.87864508749,PAN-PRI-PRD,1,132567.50133268026
5.0,2.0,2.0,35.0,69840.74266118516,PAN-PRI-PRD,1,74318.68489925787
11.0,7.0,1.0,38.0,76440.1789872561,MORENA-PT-Partido Verde,1,81341.25382022902
