estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,24,200226.51447824892,204035.93493044816,MORENA-PT-Partido Verde,20-24,-204035.93493044816
NA,NA,Mujeres,63,85876.06016594167,87509.89982400538,MORENA-PT-Partido Verde,60-64,87509.89982400538
NA,NA,Mujeres,46,156121.24296487588,159091.53617266065,MORENA-PT-Partido Verde,45-49,159091.53617266065
NA,NA,Hombres,53,140160.3436181056,142826.9718664043,MORENA-PT-Partido Verde,50-54,-142826.9718664043
NA,NA,Hombres,25,168584.5707037626,171791.98563198835,MORENA-PT-Partido Verde,25-29,-171791.98563198835
NA,NA,Hombres,44,217220.04249458143,221352.7742392392,Movimiento Ciudadano,40-44,-221352.7742392392
NA,NA,Hombres,76,139058.91723279323,141704.59023343286,MORENA-PT-Partido Verde,65-100,-141704.59023343286
NA,NA,Hombres,77,30859.165473183293,31446.278205968316,MORENA-PT-Partido Verde,65-100,-31446.278205968316
NA,NA,Hombres,18,14689.065656712264,14968.533275085334,MORENA-PT-Partido Verde,18-18,-14968.533275085334
NA,NA,Hombres,45,32282.143117988813,32896.32878942669,MORENA-PT-Partido Verde,45-49,-32896.32878942669
NA,NA,Mujeres,52,65235.946366687684,66477.09641594766,PAN-PRI-PRD,50-54,66477.09641594766
NA,NA,Mujeres,29,53519.00353204111,54537.23224749142,MORENA-PT-Partido Verde,25-29,54537.23224749142
NA,NA,Mujeres,24,79672.45430648494,81188.26692352473,Ninguno,20-24,81188.26692352473
NA,NA,Mujeres,70,154991.8661457236,157940.67233334857,MORENA-PT-Partido Verde,65-100,157940.67233334857
NA,NA,Mujeres,35,108263.78078917992,110323.55924482258,MORENA-PT-Partido Verde,35-39,110323.55924482258
NA,NA,Hombres,38,43670.39825426346,44501.251793810785,MORENA-PT-Partido Verde,35-39,-44501.251793810785
NA,NA,Hombres,19,18337.88266415521,18686.771049157043,Ninguno,19-19,-18686.771049157043
NA,NA,Mujeres,71,171981.03533945966,175253.0698905266,MORENA-PT-Partido Verde,65-100,175253.0698905266
NA,NA,Hombres,33,156348.4010766156,159323.01609342254,NR,30-34,-159323.01609342254
NA,NA,Mujeres,37,138700.00544101006,141338.84994581476,MORENA-PT-Partido Verde,35-39,141338.84994581476
NA,NA,Hombres,49,84268.77423724758,85872.03438936896,MORENA-PT-Partido Verde,45-49,-85872.03438936896
NA,NA,Hombres,19,46117.20302602376,46994.60838296835,MORENA-PT-Partido Verde,19-19,-46994.60838296835
NA,NA,Mujeres,19,52576.27719535136,53576.57001955783,MORENA-PT-Partido Verde,19-19,53576.57001955783
NA,NA,Hombres,35,106301.93019655623,108324.38335693927,MORENA-PT-Partido Verde,35-39,-108324.38335693927
NA,NA,Mujeres,53,135849.7462701944,138434.3630139672,MORENA-PT-Partido Verde,50-54,138434.3630139672
NA,NA,Mujeres,24,78001.89732203253,79485.92666621399,MORENA-PT-Partido Verde,20-24,79485.92666621399
NA,NA,Hombres,76,147450.22684921027,150255.54916780768,NR,65-100,-150255.54916780768
NA,NA,Mujeres,40,29656.004308292384,30220.2262328307,NR,40-44,30220.2262328307
NA,NA,Hombres,73,30050.532126241626,30622.26016125974,MORENA-PT-Partido Verde,65-100,-30622.26016125974
NA,NA,Mujeres,62,77869.38161510332,79350.88977448801,MORENA-PT-Partido Verde,60-64,79350.88977448801
NA,NA,Hombres,40,26507.010402510343,27011.32097205257,MORENA-PT-Partido Verde,40-44,-27011.32097205257
NA,NA,Hombres,50,18600.462103034588,18954.346207446513,MORENA-PT-Partido Verde,50-54,-18954.346207446513
NA,NA,Mujeres,20,19845.722110814047,20223.29797730005,MORENA-PT-Partido Verde,20-24,20223.29797730005
NA,NA,Mujeres,51,34405.03938037108,35059.6143302264,NR,50-54,35059.6143302264
NA,NA,Hombres,34,39779.12110812436,40535.94094247382,Ninguno,30-34,-40535.94094247382
NA,NA,Hombres,18,11733.422226948103,11956.657090333196,MORENA-PT-Partido Verde,18-18,-11956.657090333196
NA,NA,Mujeres,54,27559.22761834967,28083.557203818033,MORENA-PT-Partido Verde,50-54,28083.557203818033
NA,NA,Hombres,74,86818.23933089327,88470.0044699551,MORENA-PT-Partido Verde,65-100,-88470.0044699551
NA,NA,Hombres,19,31102.87960351537,31694.629132755625,MORENA-PT-Partido Verde,19-19,-31694.629132755625
NA,NA,Mujeres,23,61467.74335418854,62637.20125188078,MORENA-PT-Partido Verde,20-24,62637.20125188078
NA,NA,Hombres,66,86818.23933089327,88470.0044699551,MORENA-PT-Partido Verde,65-100,-88470.0044699551
NA,NA,Mujeres,32,68808.42607035337,70117.54452671303,MORENA-PT-Partido Verde,30-34,70117.54452671303
NA,NA,Mujeres,38,67199.54656876904,68478.0552005786,MORENA-PT-Partido Verde,35-39,68478.0552005786
NA,NA,Mujeres,66,108212.30511044557,110271.10421275994,MORENA-PT-Partido Verde,65-100,110271.10421275994
NA,NA,Hombres,18,31102.87960351537,31694.629132755625,MORENA-PT-Partido Verde,18-18,-31694.629132755625
NA,NA,Mujeres,27,90630.62185390362,92354.9196842157,Ninguno,25-29,92354.9196842157
NA,NA,Hombres,29,95612.6097402724,97431.69265235247,MORENA-PT-Partido Verde,25-29,-97431.69265235247
NA,NA,Mujeres,43,38378.54429131259,39108.71737518177,MORENA-PT-Partido Verde,40-44,39108.71737518177
NA,NA,Hombres,59,37823.67565360315,38543.29205399671,MORENA-PT-Partido Verde,55-59,-38543.29205399671
NA,NA,Mujeres,63,29951.782724490695,30521.63199738955,MORENA-PT-Partido Verde,60-64,30521.63199738955
NA,NA,Mujeres,34,17879.88682888308,18220.061589186134,MORENA-PT-Partido Verde,30-34,18220.061589186134
NA,NA,Mujeres,47,23607.64489434245,24056.793427557983,MORENA-PT-Partido Verde,45-49,24056.793427557983
NA,NA,Hombres,54,12934.125450161691,13180.204358090286,MORENA-PT-Partido Verde,50-54,-13180.204358090286
NA,NA,Hombres,33,39703.866248687955,40459.25431761209,PAN-PRI-PRD,30-34,-40459.25431761209
NA,NA,Mujeres,24,12199.158320509625,12431.254071298985,MORENA-PT-Partido Verde,20-24,12431.254071298985
NA,NA,Hombres,40,25906.964984024515,26399.85935678888,MORENA-PT-Partido Verde,40-44,-26399.85935678888
NA,NA,Hombres,20,16656.495009849554,16973.39406249409,MORENA-PT-Partido Verde,20-24,-16973.39406249409
NA,NA,Mujeres,20,107010.2851629984,109046.21516936069,PAN-PRI-PRD,20-24,109046.21516936069
