estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,47,44964.80942384792,55458.15463191925,MORENA-PT-Partido Verde,45-49,-55458.15463191925
NA,NA,Hombres,54,65531.95802563625,80825.01645365961,MORENA-PT-Partido Verde,50-54,-80825.01645365961
NA,NA,Hombres,55,74003.58878665107,91273.6542828618,PAN-PRI-PRD,55-59,-91273.6542828618
NA,NA,Hombres,74,57759.673894048545,71238.93034018895,PAN-PRI-PRD,65-100,-71238.93034018895
NA,NA,Hombres,59,30350.054292979003,37432.78411793913,MORENA-PT-Partido Verde,55-59,-37432.78411793913
NA,NA,Hombres,50,42564.77894558669,52498.033971113386,MORENA-PT-Partido Verde,50-54,-52498.033971113386
NA,NA,Hombres,52,37486.568761451155,46234.73230801752,MORENA-PT-Partido Verde,50-54,-46234.73230801752
NA,NA,Hombres,64,20153.898320763223,24857.17217153539,MORENA-PT-Partido Verde,60-64,-24857.17217153539
NA,NA,Hombres,24,24993.694881230414,30826.42211335915,Movimiento Ciudadano,20-24,-30826.42211335915
NA,NA,Hombres,53,52562.25689807885,64828.60281645704,MORENA-PT-Partido Verde,50-54,-64828.60281645704
NA,NA,Mujeres,60,6107.36232630384,7532.624926587124,MORENA-PT-Partido Verde,60-64,7532.624926587124
NA,NA,Mujeres,60,6107.36232630384,7532.624926587124,MORENA-PT-Partido Verde,60-64,7532.624926587124
NA,NA,Hombres,55,27528.826412903712,33953.17208288588,PAN-PRI-PRD,55-59,-33953.17208288588
NA,NA,Hombres,58,18397.584626406493,22690.991158164205,PAN-PRI-PRD,55-59,-22690.991158164205
NA,NA,Hombres,33,25383.1037998887,31306.706591436923,Movimiento Ciudadano,30-34,-31306.706591436923
NA,NA,Hombres,62,17896.91601670299,22073.482543492784,PAN-PRI-PRD,60-64,-22073.482543492784
NA,NA,Hombres,61,19396.27280555052,23922.741146159584,MORENA-PT-Partido Verde,60-64,-23922.741146159584
NA,NA,Mujeres,59,58300.078107696776,71905.44757507241,MORENA-PT-Partido Verde,55-59,71905.44757507241
NA,NA,Hombres,43,7804.072614743489,9625.293009640282,MORENA-PT-Partido Verde,40-44,-9625.293009640282
NA,NA,Hombres,37,7851.755339477156,9684.103353894703,MORENA-PT-Partido Verde,35-39,-9684.103353894703
NA,NA,Mujeres,61,20757.879500723007,25602.10319875806,PAN-PRI-PRD,60-64,25602.10319875806
