estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon
16,3,2,49,0.3725363649355181,Movimiento Ciudadano,2,2.6843017061517975,170695.70380608144
7,2,1,20,0.5458401079084114,PAN-PRI-PRD,2,1.832038330477162,116499.97148376924
9,1,1,54,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842
28,1,2,20,0.5848341793751031,MORENA-PT-Partido Verde,2,1.709886383638697,108732.28557533
15,1,2,21,1.962184829516067,MORENA-PT-Partido Verde,2,0.5096359858447329,32407.934282985327
8,2,2,36,1.198200797319328,PAN-PRI-PRD,2,0.8345846557916233,53071.536213541876
16,1,1,41,0.8397506052671342,MORENA-PT-Partido Verde,2,1.1908297460314288,75725.28868353557
26,1,1,52,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649
5,3,1,41,0.8397506052671342,Movimiento Ciudadano,2,1.1908297460314288,75725.28868353557
18,1,1,54,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842
11,2,2,64,3.469138260855638,PAN-PRI-PRD,2,0.28825602348675405,18330.30344266053
16,3,1,38,3.715364497070989,Movimiento Ciudadano,2,0.26915259614187276,17115.50967776082
17,1,2,44,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.536213541876
12,1,2,57,0.9584160012281226,MORENA-PT-Partido Verde,2,1.0433882559541903,66349.43169202333
24,1,2,23,1.962184829516067,MORENA-PT-Partido Verde,2,0.5096359858447329,32407.934282985327
9,1,1,52,0.6617955517242865,MORENA-PT-Partido Verde,2,1.5110406792468354,96087.61624393649
30,1,2,61,0.654773694532727,MORENA-PT-Partido Verde,2,1.5272452273966814,97118.06924590656
14,1,1,25,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114275,75204.97561882225
6,3,2,45,0.5734518885405548,Movimiento Ciudadano,2,1.7438254542068343,110890.48318921059
8,3,2,50,0.7009395019692667,Movimiento Ciudadano,2,1.4266566475288276,90721.60554138043
9,3,1,85,1.249948108193703,Movimiento Ciudadano,2,0.8000332121347803,50874.39757632958
9,97,1,38,0.5455342360713059,Ninguno,2,1.83306552344277,116565.29105116635
9,3,2,83,0.7077554783613371,Movimiento Ciudadano,2,1.4129173571574398,89847.91916165443
9,1,1,63,0.6260383938828235,MORENA-PT-Partido Verde,2,1.5973461208948976,101575.81008989963
2,1,1,34,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114275,75204.97561882225
30,1,1,22,0.7016402178123943,MORENA-PT-Partido Verde,2,1.4252318704276181,90631.00345686052
22,1,1,22,0.8402214392558371,MORENA-PT-Partido Verde,2,1.1901624420410823,75682.85458455789
21,2,1,46,0.7925070382889164,PAN-PRI-PRD,2,1.2618184466337066,80239.48549822842
30,1,2,44,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.536213541876
25,1,1,69,0.5453152567825396,MORENA-PT-Partido Verde,2,1.8338016176187406,116612.09954260637
30,1,2,20,0.8560429966237764,MORENA-PT-Partido Verde,2,1.1681656224558676,74284.06897413691
21,1,2,24,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989
24,1,2,38,1.198200797319328,MORENA-PT-Partido Verde,2,0.8345846557916233,53071.536213541876
5,1,2,33,2.1223656092718657,MORENA-PT-Partido Verde,2,0.47117235392024504,29962.018197158704
14,1,2,65,0.865100948191457,MORENA-PT-Partido Verde,2,1.1559344630133133,73506.28517858725
2,1,2,46,0.7009395019692667,MORENA-PT-Partido Verde,2,1.4266566475288276,90721.60554138043
9,1,2,47,0.4788700801741992,MORENA-PT-Partido Verde,2,2.0882490708883474,132792.50393529516
2,1,1,50,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842
2,1,1,24,1.0270162309078112,MORENA-PT-Partido Verde,2,0.9736944460128631,61917.577436744104
