estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
25.0,2.0,2.0,27.0,38224.46786201134,MORENA-PT-Partido Verde,3,40987.0736025977
15.0,9.0,2.0,25.0,200707.529611111,NS,3,215213.3109730438
29.0,3.0,2.0,23.0,27427.893216202767,Movimiento Ciudadano,3,29410.19563895478
1.0,2.0,2.0,22.0,27109.00480493523,MORENA-PT-Partido Verde,3,29068.260132335796
1.0,2.0,2.0,21.0,53614.46920560239,MORENA-PT-Partido Verde,3,57489.360046217334
7.0,2.0,2.0,21.0,29266.58528630481,MORENA-PT-Partido Verde,3,31381.775923128804
7.0,2.0,2.0,25.0,50470.20666739445,MORENA-PT-Partido Verde,3,54117.85149978971
3.0,2.0,2.0,28.0,78194.4336503514,MORENA-PT-Partido Verde,3,83845.79790384957
3.0,3.0,2.0,29.0,52758.48602489524,Movimiento Ciudadano,3,56571.51219659174
1.0,2.0,2.0,21.0,127232.81477057863,MORENA-PT-Partido Verde,3,136428.34120001228
19.0,8.0,2.0,24.0,79201.3028779794,Ninguno,3,84925.43682230246
14.0,2.0,2.0,20.0,43689.30786515457,MORENA-PT-Partido Verde,3,46846.875241794834
14.0,3.0,2.0,28.0,28432.372698937925,Movimiento Ciudadano,3,30487.27209793361
16.0,2.0,2.0,21.0,21475.709375706458,MORENA-PT-Partido Verde,3,23027.82824937308
16.0,2.0,2.0,27.0,15805.53490514177,MORENA-PT-Partido Verde,3,16947.851957654042
18.0,2.0,2.0,26.0,14633.292643152405,MORENA-PT-Partido Verde,3,15690.887961564402
17.0,1.0,2.0,18.0,93303.71718998204,PAN-PRI-PRD,3,100047.07816122168
19.0,1.0,2.0,24.0,100054.31953880985,PAN-PRI-PRD,3,107285.5683432722
19.0,1.0,2.0,27.0,17644.814304839932,PAN-PRI-PRD,3,18920.062019630914
13.0,2.0,2.0,18.0,50470.20666739445,MORENA-PT-Partido Verde,3,54117.85149978971
13.0,2.0,2.0,29.0,25519.175985976188,MORENA-PT-Partido Verde,3,27363.529250183587
12.0,2.0,2.0,29.0,31731.340680055477,MORENA-PT-Partido Verde,3,34024.667149260385
19.0,2.0,2.0,22.0,52617.033928975325,MORENA-PT-Partido Verde,3,56419.83690087172
19.0,2.0,2.0,21.0,34436.82649538873,MORENA-PT-Partido Verde,3,36925.68716199558
19.0,2.0,2.0,28.0,65840.82091484751,MORENA-PT-Partido Verde,3,70599.34967922168
19.0,1.0,2.0,27.0,20755.922250157004,PAN-PRI-PRD,3,22256.019783664717
1.0,1.0,2.0,21.0,97521.5562773841,PAN-PRI-PRD,3,104569.75410123318
3.0,1.0,2.0,21.0,76254.40414816205,PAN-PRI-PRD,3,81765.556204096
3.0,2.0,2.0,27.0,53614.46920560239,MORENA-PT-Partido Verde,3,57489.360046217334
30.0,2.0,2.0,29.0,50470.20666739445,MORENA-PT-Partido Verde,3,54117.85149978971
27.0,2.0,2.0,19.0,51511.53880451826,MORENA-PT-Partido Verde,3,55234.4440735077
27.0,2.0,2.0,24.0,46749.46057655424,MORENA-PT-Partido Verde,3,50128.19507259305
27.0,2.0,2.0,20.0,70947.2108881522,MORENA-PT-Partido Verde,3,76074.79494728807
27.0,2.0,2.0,22.0,41692.431916643654,MORENA-PT-Partido Verde,3,44705.67861945505
4.0,2.0,2.0,22.0,45059.173959036016,MORENA-PT-Partido Verde,3,48315.74598234535
4.0,2.0,2.0,28.0,25519.175985976188,MORENA-PT-Partido Verde,3,27363.529250183587
4.0,2.0,2.0,27.0,44007.80184617309,MORENA-PT-Partido Verde,3,47188.38781141687
31.0,2.0,2.0,21.0,53614.46920560239,MORENA-PT-Partido Verde,3,57489.360046217334
