estado,voto,genero,edad,ponderado,homo_pon,partido
19,4,1,30,47218.37805720246,48116.73387965435,MORENA-PT-Partido Verde
19,7,1,21,35680.33932986943,36359.177568345476,MORENA-PT-Partido Verde
19,7,1,71,38885.09515004441,39624.9056448547,MORENA-PT-Partido Verde
19,7,1,42,55496.027290881364,56551.869979491195,MORENA-PT-Partido Verde
19,7,2,18,35714.78567466415,36394.27927394846,MORENA-PT-Partido Verde
19,2,2,34,65546.5265069853,66793.58551561352,PAN-PRI-PRD
19,99,1,47,48471.47051033954,49393.66711148109,
29,7,1,29,15788.02675584803,16088.40271844378,MORENA-PT-Partido Verde
29,2,2,55,24704.799359743232,25174.821864972968,PAN-PRI-PRD
29,4,1,39,28094.05207212258,28628.55698935381,MORENA-PT-Partido Verde
29,4,1,24,30033.10491567697,30604.501388351688,MORENA-PT-Partido Verde
29,7,2,51,19553.347060855245,19925.360329910392,MORENA-PT-Partido Verde
29,4,2,37,69648.28388573587,70973.38110268673,MORENA-PT-Partido Verde
29,7,1,45,16559.07449790453,16874.120071295165,MORENA-PT-Partido Verde
29,7,2,32,20425.61828034779,20814.226992978725,MORENA-PT-Partido Verde
29,4,1,65,19852.326435361032,20230.027952783264,MORENA-PT-Partido Verde
29,7,2,24,32736.09555522533,33358.91792347252,MORENA-PT-Partido Verde
16,1,2,45,103220.10613886049,105183.92588784914,PAN-PRI-PRD
16,1,2,18,80076.23480741121,81599.72957235452,PAN-PRI-PRD
16,5,2,46,54907.84468873231,55952.49687722235,MORENA-PT-Partido Verde
16,5,1,70,95691.7144630305,97512.30238632012,MORENA-PT-Partido Verde
16,5,2,69,139336.36204517292,141987.31358719547,MORENA-PT-Partido Verde
16,7,1,27,70089.07916915443,71422.56276076833,MORENA-PT-Partido Verde
16,7,1,20,69484.94259891017,70806.93215731569,MORENA-PT-Partido Verde
16,7,2,25,156329.67775004197,159303.93654517978,MORENA-PT-Partido Verde
16,5,1,49,68273.25125150023,69572.18771020713,MORENA-PT-Partido Verde
16,7,1,35,71669.49480066853,73033.04667592284,MORENA-PT-Partido Verde
11,7,1,43,41176.92954546147,41960.3434603368,MORENA-PT-Partido Verde
11,95,1,58,75050.94576091216,76478.83161550797,Ninguno
11,7,2,63,47605.825219891616,48511.55243943115,MORENA-PT-Partido Verde
11,7,1,51,20557.69839199178,20948.820001977674,MORENA-PT-Partido Verde
11,7,1,33,27935.059466991675,28466.539461757904,MORENA-PT-Partido Verde
11,1,1,18,158458.72129950588,161473.4863286062,PAN-PRI-PRD
11,2,2,37,42377.31496589264,43183.56687893734,PAN-PRI-PRD
11,1,2,32,64198.193424080004,65419.59964823169,PAN-PRI-PRD
11,7,2,18,26499.648447782547,27003.81895205429,MORENA-PT-Partido Verde
11,7,2,45,37522.354746997575,38236.238350077605,MORENA-PT-Partido Verde
8,1,2,67,332564.4418916699,338891.66478678735,PAN-PRI-PRD
8,99,2,44,73300.75860367516,74695.34617722499,
8,7,1,19,56337.081987840924,57408.926208377554,MORENA-PT-Partido Verde
8,7,1,60,156553.73006317136,159532.2515777908,MORENA-PT-Partido Verde
8,2,2,25,177196.87697889697,180568.14580904267,PAN-PRI-PRD
8,99,1,38,131100.19099217615,133594.44481342557,
8,1,2,21,121750.54275097686,124066.91433058758,PAN-PRI-PRD
8,7,1,53,59523.41004437491,60655.87592282536,MORENA-PT-Partido Verde
8,7,1,25,71594.6341890868,72956.76179969982,MORENA-PT-Partido Verde
8,7,2,30,52465.946567087245,53464.14028991892,MORENA-PT-Partido Verde
15,7,1,38,27045.99040475027,27560.555367668967,MORENA-PT-Partido Verde
15,1,1,68,67884.83815354355,69176.38483770877,PAN-PRI-PRD
15,7,2,50,27559.22761834967,28083.557203818033,MORENA-PT-Partido Verde
15,99,1,50,23220.884126734723,23662.674321909606,
15,7,2,81,43756.47199434136,44588.96313451667,MORENA-PT-Partido Verde
15,2,2,23,33963.0328743852,34609.19840539659,PAN-PRI-PRD
15,7,1,24,26221.603710637817,26720.484259625337,MORENA-PT-Partido Verde
15,7,1,26,26449.58734478271,26952.805408813838,MORENA-PT-Partido Verde
15,6,2,41,30220.745654901613,30795.712096676234,Movimiento Ciudadano
15,7,2,20,19845.722110814047,20223.29797730005,MORENA-PT-Partido Verde
31,7,2,53,190209.03625743973,193827.86863236432,MORENA-PT-Partido Verde
31,1,1,39,174722.772869044,178046.9704967493,PAN-PRI-PRD
31,7,1,68,130117.96035506176,132593.52669384886,MORENA-PT-Partido Verde
31,1,2,77,366373.0680485008,373343.5188012184,PAN-PRI-PRD
31,7,1,46,105490.20066755424,107497.21022359002,MORENA-PT-Partido Verde
31,6,1,19,59302.694860677875,60430.96151038444,Movimiento Ciudadano
31,95,2,25,135831.73020124287,138416.004179315,Ninguno
31,7,1,25,143298.4342865129,146024.76644967138,MORENA-PT-Partido Verde
31,7,2,44,176998.3824789634,180365.87484119393,MORENA-PT-Partido Verde
31,1,2,32,232963.84030683004,237396.10653390916,PAN-PRI-PRD
26,7,1,66,83498.01229687172,85086.60827573364,MORENA-PT-Partido Verde
26,7,1,40,102524.9652473017,104475.55955541226,MORENA-PT-Partido Verde
26,7,2,41,83017.20264510572,84596.6509537611,MORENA-PT-Partido Verde
26,99,2,62,64373.09982903044,65597.833744512,
26,7,2,45,93743.09626660869,95526.61064831307,MORENA-PT-Partido Verde
26,7,1,49,95567.14409443454,97385.36199739443,MORENA-PT-Partido Verde
26,7,1,33,111527.612499105,113649.4871626386,MORENA-PT-Partido Verde
26,6,1,18,101334.31809661747,103262.2596825399,Movimiento Ciudadano
