columnas,genero,indice_gap,min,max,estado,total
_45_49_HOMBRES,1,4549,45,49,15,565854
_45_49_MUJERES,2,4549,45,49,15,644825
_45_49_NOBINARIO,9,4549,45,49,15,0
_50_54_HOMBRES,1,5054,50,54,15,525788
_50_54_MUJERES,2,5054,50,54,15,606895
_50_54_NOBINARIO,9,5054,50,54,15,0
_55_59_HOMBRES,1,5559,55,59,15,426596
_55_59_MUJERES,2,5559,55,59,15,501006
_55_59_NOBINARIO,9,5559,55,59,15,0
_60_64_HOMBRES,1,6064,60,64,15,343008
_60_64_MUJERES,2,6064,60,64,15,410057
_60_64_NOBINARIO,9,6064,60,64,15,0
_65_Y_MAS_HOMBRES,1,65,65,100,15,659166
_65_Y_MAS_MUJERES,2,65,65,100,15,846196
_65_Y_MAS_NOBINARIO,9,65,65,100,15,0
_18_HOMBRES,1,18,18,18,16,23801
_18_MUJERES,2,18,18,18,16,24192
_18_NOBINARIO,9,18,18,18,16,0
_19_HOMBRES,1,19,19,19,16,36982
_19_MUJERES,2,19,19,19,16,38053
